ISBN;Book_Title;Book_Author;Publication_Year;Publisher
440119006;death on the high c's;robert barnard;1981;dell publishing company
440204488;at death's door;robert barnard;1989;dell publishing company
440202515;another view;rosamunde pilcher;1989;dell publishing company
440120500;the dirty duck;martha grimes;1990;dell publishing company
440139244;i am the only running footman;martha grimes;1990;dell publishing company
440119383;the deer leap;martha grimes;1990;dell publishing company
440181275;a stranger is watching;mary higgins clark;1990;dell publishing company
044016754x;overload;arthur hailey;1991;dell publishing company
440153271;the man with a load of mischief;martha grimes;1991;dell publishing company
440211921;predator;jack olsen;1992;dell publishing company
440201330;five bells and bladebone;martha grimes;1993;dell publishing company
440215196;old silent;martha grimes;1993;dell publishing company
440211697;phantom;susan kay;1993;dell publishing company
440206308;extenuating circumstances;jonathan valin;1994;dell publishing company
440204887;illusions: the adventures of a reluctant messiah;richard bach;1994;dell publishing company
440217598;the inheritance;joan johnston;1995;dell publishing company
395670292;lost moon: the perilous voyage of apollo 13;jim lovell;1994;houghton mifflin co
395051126;selections from ralph waldo emerson (riverside editionsa13);ralph waldo emerson;1960;houghton mifflin company
441783589;starship troopers;robert a. heinlein;1987;ace books
441569595;neuromancer (remembering tomorrow);william gibson;1995;ace books
441748600;to sail beyond the sunset;robert heinlein;1996;ace books
441006612;isaac asimov's werewolves;shelia williams;1999;ace books
441008534;dead until dark (southern vampire mysteries);charlaine harris;2001;ace books
046508138x;basic economics: a citizen's guide to the economy;thomas sowell;2000;basic books
61091316;lost boys;orson scott card;1993;harpertorch
61092177;small gods (discworld novels (paperback));terry pratchett;1994;harpertorch
61042323;passion and illusion;barbara delinsky;1995;harpertorch
61043508;strong poison;dorothy l. sayers;1995;harpertorch
61082163;alone in a crowd (harper monogram);georgia bockoven;1995;harpertorch
61009059;one for the money (stephanie plum novels (paperback));janet evanovich;1995;harpertorch
61006629;fatherland;robert harris;1995;harpertorch
61093343;fault lines;anne rivers siddons;1996;harpertorch
006101141x;homeplace;anne rivers siddons;1996;harpertorch
61092827;shades of grace;barbara delinsky;1997;harpertorch
61007161;first among equals;jeffrey archer;1997;harpertorch
006101351x;the perfect storm : a true story of men against the sea;sebastian junger;1998;harpertorch
61093327;low country;anne rivers siddons;1999;harpertorch
61030155;shining through;susan isaacs;2000;harpertorch
60505257;the archer's tale;bernard cornwell;2002;harpertorch
60512822;the poisonwood bible;barbara kingsolver;2003;harpertorch
61031410;courting trouble;lisa scottoline;2003;harpertorch
64400042;on the banks of plum creek;laura ingalls wilder;1953;harpertrophy
516041304;new jersey (enchantment amer);john allan carpenter;1979;children's press (ct)
8445073559;solaris;stanislav lem;2003;minotauro
155166528x;veiled journey;nell brien;1999;mira
1551669218;prospect street;emilie richards;2002;mira
1551666847;cold ridge;carla neggers;2003;mira
671702688;generous death;nancy pickard;1990;pocket
671737783;mediterranean caper;clive cussler;1991;pocket
671742515;long dark tea time of the soul;douglas adams;1991;pocket
671689231;little girl lost;drew barrymore;1991;pocket
671673181;darkness falls;joyce anne schneider;1991;pocket
671702513;the prize;julie garwood;1991;pocket
671680420;bum steer;nancy pickard;1991;pocket
671747568;sleeping beauty (export);michael;1992;pocket
671704834;into the blue : into the blue;robert goddard;1992;pocket
671795880;best destiny (star trek);diane carey;1993;pocket
812589718;daughter of god;lewis perdue;2001;forge books
723247994;hello! peter rabbit (peter rabbit seedlings);alex vining;2002;frederick warne and company inc
671744585;the invitation;jude deveraux;1994;pocket
067179793x;princess annie;linda lael miller;1994;pocket
671517643;little women;louisa may alcott;1994;pocket
067173895x;the late lady : the late lady (superintendent bone mystery);susannah stacey;1994;pocket
671516922;trust me;jayne ann krentz;1995;pocket
671867172;the lottery winner : alvirah and willy stories;mary higgins clark;1995;pocket
671867091;remember me;mary higgins clark;1995;pocket
671511424;devil in a blue dress (easy rawlins mysteries (paperback));walter mosley;1995;pocket
671004107;contact;carl sagan;1997;pocket
1559613874;angels in the mirror: voodoo music of haiti (musical expeditions);elizabeth a. mcalister;1997;ellipsis arts
1565924207;palmpilot: the ultimate guide (first edition);david pogue;1998;o'reilly
1857996097;the necklace (phoenix 60p paperbacks);guy de maupassant;1995;orion publishing co
451522753;little men;louisa may alcott;1993;signet classics
451523628;the house of mirth (penguin great books of the 20th century);edith wharton;1995;signet classics
451407946;the offer;catherine coulter;1997;signet historical romance
843944579;love me tender;sandra hill;1998;leisure books
345302141;james joyce murder (kate fansler novels (paperback));amanda cross;1982;ballantine books
373250452;lost &amp; found (red dress ink);jane sigaloff;"2004;red dress ink"
373218095;two by twilight (2 novels in 1);maggie shayne;2003;silhouette
515058653;something oldsomething new;lillian africano;1983;jove books
515107263;happy are the merciful;andrew m. greeley;1992;jove books
051510843x;wallflower: a janek novel;william bayer;1992;jove books
051511264x;prime witness;steven paul martini;1994;jove books
515118559;true betrayals;nora roberts;1996;jove books
515120871;finding the dream;nora roberts;1997;jove books
515122866;shadow image;martin j. smith;1998;jove books
515121959;extreme instinct;robert w. walker;1998;jove books
515124060;the investigators (badge of honor novels (paperback));w. e. b. griffin;1998;jove books
515125628;the target;catherine coulter;1999;jove books
515120618;montana sky;nora roberts;2000;jove books
515128546;tears of the moon (irish trilogy);nora roberts;2000;jove books
380699370;murder and the first lady (an eleanor roosevelt mystery);elliott roosevelt;1992;harper mass market paperbacks (mm)
380756900;the gardiner women;davidyne mayleas;1993;harper mass market paperbacks (mm)
380710218;postmortem;patricia daniels cornwell;1993;harper mass market paperbacks (mm)
380774194;blameless;barbara shapiro;1995;harper mass market paperbacks (mm)
380781824;flowers for mrs. luskin (true crime (avon books).);arthur jay harris;1997;harper mass market paperbacks (mm)
2742705724;mr vertigo;paul auster;1995;actes sud
274273807x;le livre des illusions;paul auster;2002;actes sud
2742743537;la treizi????me cible;arnauld pontier;2003;actes sud
582030463;rip van winkle and other stories (longman classicsstage 2);washington irving;1991;addison wesley publishing company
582274982;tales of mystery and imagination (longman fiction);addison wesley longman;1997;addison wesley publishing company
140620338;picture of dorian gray;oscar wilde;0;penguin putnam~mass
451151259;eyes of the dragon;stephen king;1988;penguin putnam~mass
140140352;haroun and the sea of stories;salman rushdie;1991;penguin putnam~trade
140253580;therapy;david lodge;1996;penguin putnam~trade
440111498;cat's cradle;kurt vonnegut;1997;dell publishing company
044023476x;bitter medicine;sara paretsky;1999;dell publishing company
044022571x;legal briefs: stories by today's best legal thriller writers;william bernhardt;1999;dell publishing company
440206154;red dragon;thomas harris;2000;dell publishing company
435272527;pride and prejudice (intermediate level);margaret tarner;1995;delta systems
435272586;of mice and men (upper level);john milne;1995;delta systems co
425125505;tincture of death;ray harrison;1991;berkley pub group
515087181;spinsters in jeopardy;ngaio marsh;1993;berkley pub group
425140067;corpse in the kitchen;sarah j. mason;1993;berkley pub group
425149331;dead man's thoughts;carolyn wheat;1995;berkley pub group
425167097;toxin;robin cook;1999;berkley pub group
425107507;terminal justice;victor wartofsky;1988;berkley pub group (mm)
8501052981;o fantasma;danielle steel;0;luso brazilian books
8526003364;os melhores contos;lygia f telles;0;luso brazilian books
8573022396;luxuria a casa dos budas ditosos (plenos pecados);jo??o ubaldo ribeiro;1999;luso brazilian books
435277650;poor little rich girl (new wave);elaine o'reilly;1988;macmillan education
811824829;52 deck series: 52 ways to celebrate friendship;lynn gordon;2000;chronicle books
872860744;notes of a dirty old man;charles bukowski;1981;city lights publishers
517884941;moosewood restaurant low-fat favorites: flavorful recipes for healthful meals;pam krauss;1996;clarkson n potter publishers
089608289x;on power and ideology: the managua lectures;noam chomsky;1987;south end press
945320531;understanding variation: the key to managing chaos (2nd edition);donald j. wheeler;1999;spc pressinc.
055327449x;the illustrated man (grand master editions);ray bradbury;1983;spectra
553294385;irobot;isaac asimov;1991;spectra
553283952;the coming of the king (the first book of merlin);nikolai tolstoy;1990;spectra books
553291890;more than one universe;arthur c. clarke;1991;spectra books
132722208;managing across cultures;susan c. schneider;1997;pearson education
582451930;the mummy (penguin readerslevel 2);david levithan;2001;pearson esl
882893327;the voodoo queen: a novel (pelican pouch series);robert tallant;1983;pelican publishing company
140440925;sir gawain and the green knight (penguin classics ; l92);brian stone;"1959;penguin books"
140442014;the social contract (penguin classics);jean-jacques rousseau;1968;penguin books
140009345;right hojeeves;p. g. wodehouse;1975;penguin books
140481389;the crucible: a play in four acts (penguin plays);arthur miller;1976;penguin books
140043128;one flew over the cuckoo's nest;ken kesey;1976;penguin books
140150315;the portable thoreau (penguin classics);henry david thoreau;1977;penguin books
61057894;acorna: the unicorn girl (acorna (paperback));anne mccaffrey;1998;eos
380788497;changer;jane lindskold;1998;eos
380802090;hunted;james alan gardner;2000;eos
380788500;legends walking: a novel of the athanor;jane lindskold;1999;eos (harpercollins)
1573531111;goetic evocation: the magician's workbook (magician's workbook);steve savedow;1996;eschaton productions inc.
345302613;the land endures;mary emily pearce;1984;ballantine books
345319672;the ballad of typhoid mary;j.f. federspiel;1985;ballantine books
345334531;feast of all saints;anne rice;1986;ballantine books
345329082;julian;gore vidal;1986;ballantine books
345353145;sphere;michael crichton;1988;ballantine books
345321987;fault tree;mickey friedman;1989;ballantine books
345365283;a death for a dreamer;e.x. giroux;1990;ballantine books
345369947;the mummy or ramses the damned;anne rice;1991;ballantine books
345365259;bouquet of thorns;john sherwood;1991;ballantine books
345374568;the old contemptibles;martha grimes;1992;ballantine books
64470598;jacob have i loved;katherine paterson;1990;harpertrophy
875848702;from global to metanational: how companies win in the knowledge economy;yves l. doz;2001;harvard business school press
689716230;dragon's milk (dragon chronicles);susan fletcher;1997;aladdin
618002219;the hobbit: or there and back again;j.r.r. tolkien;1999;houghton mifflin company
618139303;y: the descent of men;steve jones;2003;houghton mifflin company
786882476;think yourself thin : the visualization technique that will make you lose weight;debbie johnson;1997;hyperion
078688939x;dirty jokes and beer : stories of the unrefined;drew carey;1998;hyperion
786889284;beyond recognition;ridley pearson;1998;hyperion
425111830;search the shadows;barbara michaels;1990;berkley publishing group
425121631;rules of prey;john sandford;1992;berkley publishing group
425109720;patriot games (jack ryan novels);tom clancy;1992;berkley publishing group
042514545x;fool's puzzle;earlene fowler;1995;berkley publishing group
425115801;lightning;dean r. koontz;1996;berkley publishing group
375753788;i will bear witness: a diary of the nazi years 1933-1941 (modern library (paperback));victor klemperer;1999;modern library
886461839;silent spring;rachael carson;1986;dh audio
1888054557;postmarked yesteryear: 30 rare holiday postcards;pamela e. apkarian-russell;2001;collectors press
8571640696;feliz ano novo;rubem fonseca;0;companhia das letras
8571640599;boca do inferno: romance;ana maria miranda;1989;companhia das letras
8571643164;sem pecado: romance;ana maria miranda;1993;companhia das letras
8571643806;galantes mem??rias e admir??veis aventuras do virtuoso conselheiro gomeso chala??a;jos?? roberto torero;1994;companhia das letras
