ISBN;Book_Title;Book_Author;Publication_Year;Publisher
0440119006;death on the high c's;robert barnard;1981;dell publishing company
0440204488;at death's door;robert barnard;1989;dell publishing company
0440202515;another view;rosamunde pilcher;1989;dell publishing company
0440120500;the dirty duck;martha grimes;1990;dell publishing company
0440139244;i am the only running footman;martha grimes;1990;dell publishing company
0440119383;the deer leap;martha grimes;1990;dell publishing company
0440181275;a stranger is watching;mary higgins clark;1990;dell publishing company
044016754x;overload;arthur hailey;1991;dell publishing company
0440153271;the man with a load of mischief;martha grimes;1991;dell publishing company
0440211921;predator;jack olsen;1992;dell publishing company
0440201330;five bells and bladebone;martha grimes;1993;dell publishing company
0440215196;old silent;martha grimes;1993;dell publishing company
0440211697;phantom;susan kay;1993;dell publishing company
0440206308;extenuating circumstances;jonathan valin;1994;dell publishing company
0440204887;illusions: the adventures of a reluctant messiah;richard bach;1994;dell publishing company
0440217598;the inheritance;joan johnston;1995;dell publishing company
0395670292;lost moon: the perilous voyage of apollo 13;jim lovell;1994;houghton mifflin co
0395051126;selections from ralph waldo emerson (riverside editionsa13);ralph waldo emerson;1960;houghton mifflin company
0441783589;starship troopers;robert a. heinlein;1987;ace books
0441569595;neuromancer (remembering tomorrow);william gibson;1995;ace books
0441748600;to sail beyond the sunset;robert heinlein;1996;ace books
0441006612;isaac asimov's werewolves;shelia williams;1999;ace books
0441008534;dead until dark (southern vampire mysteries);charlaine harris;2001;ace books
046508138x;basic economics: a citizen's guide to the economy;thomas sowell;2000;basic books
0061091316;lost boys;orson scott card;1993;harpertorch
0061092177;small gods (discworld novels (paperback));terry pratchett;1994;harpertorch
0061042323;passion and illusion;barbara delinsky;1995;harpertorch
0061043508;strong poison;dorothy l. sayers;1995;harpertorch
0061082163;alone in a crowd (harper monogram);georgia bockoven;1995;harpertorch
0061009059;one for the money (stephanie plum novels (paperback));janet evanovich;1995;harpertorch
0061006629;fatherland;robert harris;1995;harpertorch
0061093343;fault lines;anne rivers siddons;1996;harpertorch
006101141x;homeplace;anne rivers siddons;1996;harpertorch
0061092827;shades of grace;barbara delinsky;1997;harpertorch
0061007161;first among equals;jeffrey archer;1997;harpertorch
006101351x;the perfect storm : a true story of men against the sea;sebastian junger;1998;harpertorch
006101351x;the perfect storm : a true story of men against the sea;sebastian junger;1998;harpertorch
0061093327;low country;anne rivers siddons;1999;harpertorch
0061030155;shining through;susan isaacs;2000;harpertorch
0060505257;the archer's tale;bernard cornwell;2002;harpertorch
0060512822;the poisonwood bible;barbara kingsolver;2003;harpertorch
0061031410;courting trouble;lisa scottoline;2003;harpertorch
0064400042;on the banks of plum creek;laura ingalls wilder;1953;harpertrophy
0516041304;new jersey (enchantment amer);john allan carpenter;1979;children's press (ct)
8445073559;solaris;stanislav lem;2003;minotauro
155166528x;veiled journey;nell brien;1999;mira
1551669218;prospect street;emilie richards;2002;mira
1551666847;cold ridge;carla neggers;2003;mira
0671702688;generous death;nancy pickard;1990;pocket
0671737783;mediterranean caper;clive cussler;1991;pocket
0671742515;long dark tea time of the soul;douglas adams;1991;pocket
0671689231;little girl lost;drew barrymore;1991;pocket
0671673181;darkness falls;joyce anne schneider;1991;pocket
0671702513;the prize;julie garwood;1991;pocket
0671680420;bum steer;nancy pickard;1991;pocket
0671747568;sleeping beauty (export);michael;1992;pocket
0671704834;into the blue : into the blue;robert goddard;1992;pocket
0671795880;best destiny (star trek);diane carey;1993;pocket
0812589718;daughter of god;lewis perdue;2001;forge books
0723247994;hello! peter rabbit (peter rabbit seedlings);alex vining;2002;frederick warne and company inc
0671744585;the invitation;jude deveraux;1994;pocket
067179793x;princess annie;linda lael miller;1994;pocket
0671517643;little women;louisa may alcott;1994;pocket
067173895x;the late lady : the late lady (superintendent bone mystery);susannah stacey;1994;pocket
0671516922;trust me;jayne ann krentz;1995;pocket
0671867172;the lottery winner : alvirah and willy stories;mary higgins clark;1995;pocket
0671867091;remember me;mary higgins clark;1995;pocket
0671511424;devil in a blue dress (easy rawlins mysteries (paperback));walter mosley;1995;pocket
0671004107;contact;carl sagan;1997;pocket
1559613874;angels in the mirror: voodoo music of haiti (musical expeditions);elizabeth a. mcalister;1997;ellipsis arts
1565924207;palmpilot: the ultimate guide (first edition);david pogue;1998;o'reilly
1857996097;the necklace (phoenix 60p paperbacks);guy de maupassant;1995;orion publishing co
0451522753;little men;louisa may alcott;1993;signet classics
0451523628;the house of mirth (penguin great books of the 20th century);edith wharton;1995;signet classics
0451407946;the offer;catherine coulter;1997;signet historical romance
0843944579;love me tender;sandra hill;1998;leisure books
0345302141;james joyce murder (kate fansler novels (paperback));amanda cross;1982;ballantine books
0373250452;lost &amp; found (red dress ink);jane sigaloff;"2004;red dress ink"
0373218095;two by twilight (2 novels in 1);maggie shayne;2003;silhouette
0515058653;something oldsomething new;lillian africano;1983;jove books
0515107263;happy are the merciful;andrew m. greeley;1992;jove books
051510843x;wallflower: a janek novel;william bayer;1992;jove books
051511264x;prime witness;steven paul martini;1994;jove books
051511264x;prime witness;steven paul martini;1994;jove books
0515118559;true betrayals;nora roberts;1996;jove books
0515120871;finding the dream;nora roberts;1997;jove books
0515122866;shadow image;martin j. smith;1998;jove books
0515121959;extreme instinct;robert w. walker;1998;jove books
0515124060;the investigators (badge of honor novels (paperback));w. e. b. griffin;1998;jove books
0515125628;the target;catherine coulter;1999;jove books
0515120618;montana sky;nora roberts;2000;jove books
0515128546;tears of the moon (irish trilogy);nora roberts;2000;jove books
0380699370;murder and the first lady (an eleanor roosevelt mystery);elliott roosevelt;1992;harper mass market paperbacks (mm)
0380756900;the gardiner women;davidyne mayleas;1993;harper mass market paperbacks (mm)
0380710218;postmortem;patricia daniels cornwell;1993;harper mass market paperbacks (mm)
0380774194;blameless;barbara shapiro;1995;harper mass market paperbacks (mm)
0380781824;flowers for mrs. luskin (true crime (avon books).);arthur jay harris;1997;harper mass market paperbacks (mm)
2742705724;mr vertigo;paul auster;1995;actes sud
274273807x;le livre des illusions;paul auster;2002;actes sud
2742743537;la treizi????me cible;arnauld pontier;2003;actes sud
0582030463;rip van winkle and other stories (longman classicsstage 2);washington irving;1991;addison wesley publishing company
0582274982;tales of mystery and imagination (longman fiction);addison wesley longman;1997;addison wesley publishing company
0140620338;picture of dorian gray;oscar wilde;0;penguin putnam~mass
0451151259;eyes of the dragon;stephen king;1988;penguin putnam~mass
0140140352;haroun and the sea of stories;salman rushdie;1991;penguin putnam~trade
0140253580;therapy;david lodge;1996;penguin putnam~trade
0440111498;cat's cradle;kurt vonnegut;1997;dell publishing company
044023476x;bitter medicine;sara paretsky;1999;dell publishing company
044022571x;legal briefs: stories by today's best legal thriller writers;william bernhardt;1999;dell publishing company
0440206154;red dragon;thomas harris;2000;dell publishing company
0435272527;pride and prejudice (intermediate level);margaret tarner;1995;delta systems
0435272586;of mice and men (upper level);john milne;1995;delta systems co
0425125505;tincture of death;ray harrison;1991;berkley pub group
0515087181;spinsters in jeopardy;ngaio marsh;1993;berkley pub group
0425140067;corpse in the kitchen;sarah j. mason;1993;berkley pub group
0425149331;dead man's thoughts;carolyn wheat;1995;berkley pub group
0425167097;toxin;robin cook;1999;berkley pub group
0425107507;terminal justice;victor wartofsky;1988;berkley pub group (mm)
8501052981;o fantasma;danielle steel;0;luso brazilian books
8526003364;os melhores contos;lygia f telles;0;luso brazilian books
8573022396;luxuria a casa dos budas ditosos (plenos pecados);jo??o ubaldo ribeiro;1999;luso brazilian books
0435277650;poor little rich girl (new wave);elaine o'reilly;1988;macmillan education
0811824829;52 deck series: 52 ways to celebrate friendship;lynn gordon;2000;chronicle books
0872860744;notes of a dirty old man;charles bukowski;1981;city lights publishers
0517884941;moosewood restaurant low-fat favorites: flavorful recipes for healthful meals;pam krauss;1996;clarkson n potter publishers
089608289x;on power and ideology: the managua lectures;noam chomsky;1987;south end press
0945320531;understanding variation: the key to managing chaos (2nd edition);donald j. wheeler;1999;spc pressinc.
055327449x;the illustrated man (grand master editions);ray bradbury;1983;spectra
055327449x;the illustrated man (grand master editions);ray bradbury;1983;spectra
0553294385;irobot;isaac asimov;1991;spectra
0553283952;the coming of the king (the first book of merlin);nikolai tolstoy;1990;spectra books
0553291890;more than one universe;arthur c. clarke;1991;spectra books
0132722208;managing across cultures;susan c. schneider;1997;pearson education
0582451930;the mummy (penguin readerslevel 2);david levithan;2001;pearson esl
0882893327;the voodoo queen: a novel (pelican pouch series);robert tallant;1983;pelican publishing company
0140440925;sir gawain and the green knight (penguin classics ; l92);brian stone;"1959;penguin books"
0140442014;the social contract (penguin classics);jean-jacques rousseau;1968;penguin books
0140009345;right hojeeves;p. g. wodehouse;1975;penguin books
0140481389;the crucible: a play in four acts (penguin plays);arthur miller;1976;penguin books
0140043128;one flew over the cuckoo's nest;ken kesey;1976;penguin books
0140150315;the portable thoreau (penguin classics);henry david thoreau;1977;penguin books
0061057894;acorna: the unicorn girl (acorna (paperback));anne mccaffrey;1998;eos
0380788497;changer;jane lindskold;1998;eos
0380802090;hunted;james alan gardner;2000;eos
0380788500;legends walking: a novel of the athanor;jane lindskold;1999;eos (harpercollins)
1573531111;goetic evocation: the magician's workbook (magician's workbook);steve savedow;1996;eschaton productions inc.
0345302613;the land endures;mary emily pearce;1984;ballantine books
0345319672;the ballad of typhoid mary;j.f. federspiel;1985;ballantine books
0345334531;feast of all saints;anne rice;1986;ballantine books
0345329082;julian;gore vidal;1986;ballantine books
0345353145;sphere;michael crichton;1988;ballantine books
0345321987;fault tree;mickey friedman;1989;ballantine books
0345365283;a death for a dreamer;e.x. giroux;1990;ballantine books
0345369947;the mummy or ramses the damned;anne rice;1991;ballantine books
0345365259;bouquet of thorns;john sherwood;1991;ballantine books
0345374568;the old contemptibles;martha grimes;1992;ballantine books
0064470598;jacob have i loved;katherine paterson;1990;harpertrophy
0875848702;from global to metanational: how companies win in the knowledge economy;yves l. doz;2001;harvard business school press
0689716230;dragon's milk (dragon chronicles);susan fletcher;1997;aladdin
0618002219;the hobbit: or there and back again;j.r.r. tolkien;1999;houghton mifflin company
0618139303;y: the descent of men;steve jones;2003;houghton mifflin company
0786882476;think yourself thin : the visualization technique that will make you lose weight;debbie johnson;1997;hyperion
078688939x;dirty jokes and beer : stories of the unrefined;drew carey;1998;hyperion
0786889284;beyond recognition;ridley pearson;1998;hyperion
0425111830;search the shadows;barbara michaels;1990;berkley publishing group
0425121631;rules of prey;john sandford;1992;berkley publishing group
0425109720;patriot games (jack ryan novels);tom clancy;1992;berkley publishing group
042514545x;fool's puzzle;earlene fowler;1995;berkley publishing group
0425115801;lightning;dean r. koontz;1996;berkley publishing group
0375753788;i will bear witness: a diary of the nazi years 1933-1941 (modern library (paperback));victor klemperer;1999;modern library
0886461839;silent spring;rachael carson;1986;dh audio
1888054557;postmarked yesteryear: 30 rare holiday postcards;pamela e. apkarian-russell;2001;collectors press
8571640696;feliz ano novo;rubem fonseca;0;companhia das letras
8571640599;boca do inferno: romance;ana maria miranda;1989;companhia das letras
8571643164;sem pecado: romance;ana maria miranda;1993;companhia das letras
8571643806;galantes mem??rias e admir??veis aventuras do virtuoso conselheiro gomeso chala??a;jos?? roberto torero;1994;companhia das letras
8571644829;o xang?? de baker street: romance;j?? soares;1995;companhia das letras
857164554x;estranhos estrangeiros ;: epela noite;caio fernando abreu;"1996;companhia das letras"
8571647704;tormentos ocasionais: romance;bernadette lyra;1998;companhia das letras
8571648395;o homem que matou get??lio vargas: biografia de um anarquista;j?? soares;1998;companhia das letras
8571647658;achados e perdidos;l. a garc??a-roza;1998;companhia das letras
8571641145;a grande arte;rubem fonseca;1998;companhia das letras
8571648972;esta????o carandiru;drauzio varella;1999;companhia das letras
8571649375;a mulher que escreveu a biblia;moacyr scliar;1999;companhia das letras
8535900586;borges e os orangotangos eternos (literatura ou morte);lu??s fernando ver??ssimo;2000;companhia das letras
8535901809;uma janela em copacabana;l. a garc??a-roza;2001;companhia das letras
157324127x;uppity women of the renaissance;vicki leon;1999;conari press
0761513418;richard bransonvirgin king: inside richard branson's business empire;tim jackson;1998;prima lifestyles
0691089132;stars and planets (princeton field guides);ian ridpath;2001;princeton university press
1861976127;eatsshoots and leaves: the zero tolerance approach to punctuation;lynne truss;2004;profile books ltd
0879755008;an enquiry concerning human understanding (great books in philosophy);david hume;1988;prometheus books
2253004359;jane eyre;charlotte bront????;1991;lgf
0345374266;shadows in bronze;lindsey davis;1993;ballantine books
0345391055;disclosure;michael crichton;1994;ballantine books
034532532x;the lasko tangent;richard north patterson;1994;ballantine books
0345397819;lasher: lives of the mayfair witches (lives of the mayfair witches);anne rice;1995;ballantine books
034539657x;dark rivers of the heart;dean r. koontz;1995;ballantine books
034538184x;degree of guilt;richard north patterson;1995;ballantine books
0345334019;escape the night;richard north patterson;1995;ballantine books
034538184x;degree of guilt;richard north patterson;1995;ballantine books
0345394267;rainbow's end;martha grimes;1996;ballantine books
0345387554;the horse you came in on;martha grimes;1996;ballantine books
0345405072;lost world;michael crichton;1996;ballantine books
034540498x;final judgment;richard n. patterson;1996;ballantine books
0345394259;hotel paradise;martha grimes;1997;ballantine books
0345422384;pandora: new tales of the vampires (new tales of the vampires);anne rice;1999;ballantine books
0345370775;jurassic park;michael crichton;1999;ballantine books
0804118728;15 months in sog: a warrior's tour;thom nicholson;1999;ballantine books
0805210555;the complete stories;franz kafka;1995;schocken books
2040160590;les essais - extraits;michel e. montaigne;0;schoenhofs foreign books
0515131679;the gingerbread man;maggie shayne;2001;jove books
0515120006;holding the dream (dream trilogy);nora roberts;2001;jove books
0515130389;carolina moon;nora roberts;2001;jove books
0515133973;midnight bayou;nora roberts;2004;jove books
958704049x;el hombre duplicado;jose saramago;2002;alfaguara edicioness.a. (spain)
0679433023;violin;anne rice;1997;alfred a. knopf
0821748564;happy endings;katherine stone;1995;kensington pub corp
0195002121;the problems of philosophy;bertrand russell3d earl russell;1959;oxford university press
0194312070;oxford english picture dictionary;e. c. parnwell;1982;oxford university press
0192815032;pride and prejudice;jane austen;1987;oxford university press
0194337863;start with english readers;rosemary border;1988;oxford university press
2070378233;la guerre de la fin du monde;mario vargas llosa;1987;gallimard
2070530663;sous le pavillon noir: pirates et flibustiers (aventures);philippe jacquin;1988;gallimard
0553236210;nova;samuel r. delany;1991;spectra books
0553576399;distraction: a novel;bruce sterling;1999;spectra books
1840181745;hoolifan: thirty years of hurt (mainstream sport);martin king;1999;mainstream publishing
0749306629;charity ends at home (the flaxborough novels);colin watson;1991;mandarin
0749312475;the queen of hearts;barbara cartland;1992;mandarin
0749320346;the bridges of madison county;robert james waller;1995;mandarin
853361201x;a arte da felicidade: um manual para a vida;dalai lama;2001;martins fontes
0684718634;cry the beloved country;alan paton;1990;simon schuster trade
0425154092;from potter's field;patricia daniels cornwell;1996;berkley publishing group
0425151867;acceptable risk;robin cook;1996;berkley publishing group
0425133540;the sum of all fears (jack ryan novels);tom clancy;1996;berkley publishing group
0425157784;mourn not your dead;deborah crombie;1997;berkley publishing group
0425145425;a bite of death;susan conant;1997;berkley publishing group
0425167313;here on earth;alice hoffman;1998;berkley publishing group
0425166392;guilty pleasures;lawrence sanders;1998;berkley publishing group
0425163407;unnatural exposure;patricia daniels cornwell;1998;berkley publishing group
0425169863;point of origin;patricia daniels cornwell;1999;berkley publishing group
0425172546;southern cross;patricia daniels cornwell;1999;berkley publishing group
0425166619;toxin;robin cook;1999;berkley publishing group
0425175405;black notice;patricia daniels cornwell;2000;berkley publishing group
0425174018;hush money (spenser mysteries);robert b. parker;2000;berkley publishing group
0425105679;cards on the table (hercule poirot mysteries (paperback));agatha christie;2001;berkley publishing group
042518109x;whispers;dean r. koontz;2001;berkley publishing group
042518630x;purity in death;j.d. robb;2002;berkley publishing group
0425182908;isle of dogs;patricia cornwell;2002;berkley publishing group
0425192776;a little mischief (berkley sensation);amelia grey;2003;berkley publishing group
0679773274;dance for the dead;thomas perry;1996;random house inc
0609803115;seinfeld: the totally unauthorized tribute (not that there's anything wrong with that);david wild;1998;random house inc
0679450440;protect and defend;richard north patterson;2000;random house inc
0679459596;billy straight: a novel;jonathan kellerman;1999;random house trade
0671556037;split image;judy mercer;1999;pocket
2266091611;voyage au centre de la terre;jules verne;1999;pocket
0671019414;hooked;stef ann holm;1999;pocket
0671011375;death du jour;kathy reichs;2000;pocket
0671785885;brown-eyed girl;mariah stewart;2000;pocket
0671036556;wait until dark;andrea kane;2001;pocket
0671047515;hell's kitchen;jeffery deaver;2001;pocket
0671034006;heartbreaker;julie garwood;2001;pocket
0671786466;paradise county;karen robards;2001;pocket
0156007754;blindness (harvest book);jose saramago;1999;harvest books
0156006847;the fencing master: a novel;arturo p??rez-reverte;2000;harvest books
b000051zuo;triangle;sondra marshak;0;pocket books
081296683x;girls' poker night: a novel;jill davis;2003;random house trade
073641150x;pooh's leaf pile (a winnie the pooh first reader);isabel gaines;1999;disney press
226612269x;ou es-tu?;marc levy;2003;distribooks inc
8501012076;cem anos de solidao;gabr garcia marquez;0;distribooks int'l+inc
850102872x;o amor nos tempos do colera;gabr garcia marquez;0;distribooks int'l+inc
0801492823;four texts on socrates: plato's euthyphroapology of socratesand crito and aristophanes' clouds;thomas west;1984;cornell univ pr
0786861347;don't stand too close to a naked man;tim allen;1994;hyperion books
0449005828;bedford square (charlotte &amp; thomas pitt novels (paperback));anne perry;"2000;ballantine books"
0345438663;the conversation piece 2: a new generation of questions;bret nicholaus;2000;ballantine books
0804114986;the bonesetter's daughter;amy tan;2002;ballantine books
0449003795;p is for peril;sue grafton;2002;ballantine books
0804119716;out of control;suzanne brockmann;2002;ballantine books
0553210793;the adventures of huckleberry finn (bantam classics);mark twain;1981;bantam
0553275569;the right stuff;tom wolfe;1983;bantam
0553280341;b is for burglar (kinsey millhone mysteries (paperback));sue grafton;1986;bantam
0553279912;a is for alibi (kinsey millhone mysteries (paperback));sue grafton;1987;bantam
0553280368;c is for corpse (kinsey millhone mysteries (paperback));sue grafton;1987;bantam
0553272225;something wicked;carolyn g. hart;1988;bantam
055305340x;a brief history of time : from the big bang to black holes;stephen w. hawking;1988;bantam
0553271636;d is for deadbeat (kinsey millhone mysteries (paperback));sue grafton;1988;bantam
0385029551;confessions of saint augustine (image book);st. augustine;1960;image
8572130063;historias da tradicao sufi;edicoes dervish;0;alif pub corp
0803928319;images of organization;gareth morgan;1986;sage pubns
0261102753;the road to middle-earth;t. a. shippey;1992;harpercollins
0140482091;the importance of being earnest and other plays;oscar wilde;1986;penguin books
014002154x;an unofficial rose;iris murdoch;1987;penguin books
0140440100;adventures of don quixote (classics s.);miguel de cervantes;1988;penguin books
014044534x;the civilization of the renaissance in italy (penguin classics);jacob burckhardt;1990;penguin books
0140445145;twilight of the idols and the anti christ (penguin classics);r.j. hollingdale;1990;penguin books
0140445560;the odyssey (penguin classics);homer;1992;penguin books
0140184929;brighton rock (twentieth century classics);graham greene;1995;penguin books
014043464x;mary barton: penguin classics;elizabeth gaskell;1996;penguin books
006000942x;how to read literature like a professor : a lively and entertaining guide to reading between the lines;thomas c. foster;2003;perennial currents
0571117422;translations (faber paperbacks);brian friel;1995;"faber &amp; faber"
0571173004;rain;kirsty gunn;0;faber faber inc
0738203491;the pleasure of finding things out: the best short works of richard p. feynman;richard p. feynman;2000;perseus books group
0425188221;shadowland;peter straub;2003;berkley publishing group
0425179885;the devil's code;john sandford;2004;berkley publishing group
0425126064;shadow prey;john sandford;2004;berkley publishing group
852600025x;os melhores poemas de jo??o cabral de melo neto (os melhores poemas);jo??o cabral de melo neto;1985;global editora
1893224546;the theory of everything: the origin and fate of the universe;s. w. hawking;2002;new millennium press
0316779490;naked;david sedaris;1997;"little brown &amp; co"
0821732951;a time for love;constance o'day-flannery;1994;kensington pub corp (mm)
1575660369;local knowledge;conor daly;1996;kensington publishing corporation
0553286390;dragon wing (the death gate cyclebook 1);margaret weis;1990;bantam
0553284789;f is for fugitive (kinsey millhone mysteries (paperback));sue grafton;1990;bantam
0553293915;kat's cradle (kat colorado mysteries);karen kijewski;1992;bantam
0553296906;blue willow;deborah smith;1993;bantam
0553299514;lullaby town;robert crais;1993;bantam
0553569031;gone but not forgotten;phillip m. margolin;1994;bantam
0553572512;playing for the ashes;elizabeth george;1995;bantam
0553569783;heartstone;phillip m. margolin;1995;bantam
0553576089;in the presence of the enemy;elizabeth george;1997;bantam
0553579983;and then you die;iris johansen;1998;bantam
0553800973;body of lies;iris johansen;2002;bantam
0553382349;the cinderella rules;donna kauffman;2003;bantam
0553582372;a place of hiding;elizabeth george;2004;bantam
0385486804;into the wild;jon krakauer;1997;anchor
0385498721;survivor : a novel;chuck palahniuk;2000;anchor
0385721420;three junes;julia glass;2003;anchor
0385476760;the web of life: a new understanding of living systems;fritjof capra;1997;anchor books/doubleday
0385484518;tuesdays with morrie: an old mana young manand life's greatest lesson;mitch albom;1997;doubleday
0385509472;diary: a novel;chuck palahniuk;2003;doubleday
0385509456;the curious incident of the dog in the night-time : a novel;mark haddon;2003;doubleday
0373483880;the macgregors: serena - caine (the macgregors);nora roberts;1998;silhouette
0671010387;we'll meet again;mary higgins clark;2000;"simon &amp; schuster (trade division)"
0451180054;trial by fire;nancy taylor rosenberg;1996;signet book
0451165209;the richest man in babylon;george s. clason;1997;signet book
0451180062;abuse of power;nancy taylor rosenberg;1997;signet book
0451407830;the burglar in the library: a bernie rhodenbarr mystery (bernie rhodenbarr mysteries (paperback));lawrence block;1998;signet book
