UserID;Location;Age
2;stockton, california, usa;18
4;porto, v.n.gaia, portugal;17
6;santa monica, california, usa;61
10;albacete, wisconsin, spain;26
11;melbourne, victoria, australia;14
13;barcelona, barcelona, spain;26
18;rio de janeiro, rio de janeiro, brazil;25
19;weston, ,;14
20;langhorne, pennsylvania, usa;19
21;ferrol / spain, alabama, spain;46
24;cologne, nrw, germany;19
25;oakland, california, usa;55
27;chicago, illinois, usa;32
28;freiburg, baden-wuerttemberg, germany;24
29;cuernavaca, alabama, mexico;19
30;anchorage, alaska, usa;24
31;shanghai, n/a, china;20
33;costa mesa, california, usa;34
35;grafton, wisconsin, usa;17
36;montreal, quebec, canada;24
37;san sebastian, n/a, spain;23
38;viterbo, lazio, italy;34
40;tonawanda, new york, usa;32
41;santee, california, usa;14
42;appleton, wisconsin, usa;17
44;black mountain, north carolina, usa;51
46;heidelberg, baden-wuerttemberg, germany;31
47;vicenza, veneto, italy;21
50;london, england, united kingdom;17
51;renton, washington, usa;34
54;eubank, kentucky, usa;44
56;cheyenne, wyoming, usa;24
59;asheville, north carolina, usa;23
61;winfield, alabama, usa;30
63;nyack, new york, usa;57
64;lyon, rhone, france;32
66;warman, saskatchewan, canada;30
67;framingham, massachusetts, usa;43
70;rochester, new york, usa;44
71;toronto, ontario, canada;24
72;gloucester, england, united kingdom;34
74;amsterdam, n/a, netherlands;30
75;long beach, california, usa;37
78;oakland, california, usa;18
79;ottawa, ontario, canada;20
85;london, england, united kingdom;41
89;plano, texas, usa;54
90;powhatan, virginia, usa;42
92;castellar del valles, barcelona, spain;20
93;eden, wisconsin, usa;50
94;tehran, tehran, iraq;39
98;pukekohe, auckland, new zealand;19
99;franktown, colorado, usa;42
100;madrid, n/a, spain;44
101;nagpur, idaho, india;26
103;litchfield park, arizona, usa;53
104;foxboro, massachusetts, usa;47
105;hull, england, united kingdom;36
109;muncie, indiana, usa;20
111;avintes, v.n. gaia, portugal;25
112;mexico city, d.f., mexico;32
114;ligonier, pennsylvania, usa;57
117;ann arbor, michigan, usa;57
118;kronberg, hessen, ghana;28
119;huntington, vermont, usa;35
120;villeneuve d`ascq, nord, france;13
123;ann arbor, michigan, usa;24
124;papillion, nebraska, usa;58
125;lansing, michigan, usa;49
126;eindhoven, noord-brabant, netherlands;24
127;geneva, ge, switzerland;28
129;bloomington, minnesota, usa;47
132;silver spring, maryland, usa;38
133;jacksonville, florida, usa;45
138;santa, california, usa;28
139;baltimore, maryland, usa;35
140;kappelrodeck, baden-wuerttemberg, germany;24
143;san francisco, california, usa;26
144;cape girardeau, missouri, usa;62
148;essex, england, united kingdom;63
150;mashhad, islam, iran;25
152;enschede, overijssel, netherlands;26
153;lille, nord of france, france;24
156;sarajevo, n/a, bosnia and herzegovina;20
157;legnano, lombardia, italy;36
